station,sensor,start,end,comment
HEG19,P_container_RT,2012-03-16,2012-07-19,"noise (P_container_RT used for P_RT_NRT)"
HEG19,P_container_NRT,2012-03-16,2012-07-19,"noise (P_container_NRT not used for P_RT_NRT)"
HEG24,P_container_RT,2011-11-30,2011-12-22,"noise"
HEG24,P_container_NRT,2011-11-30,2011-12-22,"noise from P_container_RT"
HEG24,P_container_RT,2012-10-17,2012-11-06,"noise"
HEG24,P_container_NRT,2012-10-17,2012-11-06,"noise from P_container_RT"
HEG31,P_container_RT,2012-10-17,2012-11-06,"noise"
HEG31,P_container_NRT,2012-10-17,2012-11-06,"noise from P_container_RT"
SEG43,P_container_RT,2011-01-31,2011-10-19,"noise"
SEG03,Albedo,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,LWDR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,LWUR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,PAR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,Rn_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,SWDR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,SWUR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,Tsky,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,LWDR_300_U,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,LWUR_300_U,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,PAR_300_U,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,SWDR_300_U,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,SWUR_300_U,*,2013-08,"(2017-4-12) unknown offset error" 
SEG03,LWDR_300,*,2013-08,"(2017-4-12) unknown offset error"
SEG03,Ta_200,*,2013-08,"(2017-4-12) unknown offset error"
