plot,general,lat,lon,focal,is_station,logger,alternative_id,elevation,comment
AEG01,AEG,48.3980050128,9.3419867529,Y,Y,00EEMU,A19557,,
AEG02,AEG,48.3768572731,9.4727841247,Y,Y,00EEMU,A39275,,
AEG03,AEG,48.4088814832,9.5323787503,Y,Y,00CEMU,A48112,,
AEG04,AEG,48.3808884549,9.4188891246,Y,Y,00CEMU,A31160,,
AEG05,AEG,48.3958758627,9.4392007081,Y,Y,00CEMU,A34237,,
AEG06,AEG,48.401262153,9.4416781078,Y,Y,00CEMU,A34651,,
AEG07,AEG,48.3914209811,9.3768471301,Y,Y,00CEMU,A24854,,
AEG08,AEG,48.4226402847,9.4921245872,Y,Y,00CEMU,A42131,,
AEG09,AEG,48.3946709269,9.5027923796,Y,Y,00CEMU,A43687,,
AEG10,AEG,48.3787128703,9.2126008478,N,Y,00AEMU,A2277,,
AEG11,AEG,48.4853987987,9.3477155235,N,Y,00EEMU,A20470,,
AEG12,AEG,48.3891220871,9.3502309279,N,Y,00CEMU,A20771,,
AEG13,AEG,48.3916479693,9.3621982699,N,Y,00CEMU,A22610,,
AEG14,AEG,48.3757600015,9.5186692771,N,Y,00CEMU,A46088,,
AEG15,AEG,48.487881799,9.4486539191,N,Y,00CEMU,A35767,,
AEG16,AEG,48.40210764,9.4554611349,N,Y,00CEMU,A36692,,
AEG17,AEG,48.3993230386,9.5183688727,N,Y,00CEMU,A46114,,
AEG18,AEG,48.3829418675,9.5214424368,N,Y,00CEMU,A46500,,
AEG19,AEG,48.39764314,9.4473185834,N,Y,00CEMU,A35463,,
AEG20,AEG,48.4895088831,9.3564020806,N,Y,00CEMU,A21699,,
AEG21,AEG,48.4422038842,9.3572193006,N,Y,00AEMU,A21850,,
AEG22,AEG,48.4043813138,9.5134230403,N,Y,00CEMU,A45310,,
AEG23,AEG,48.4189546956,9.512354055,N,Y,00CEMU,A45122,,
AEG24,AEG,48.3964648774,9.4934922481,N,Y,00CEMU,A42306,,
AEG25,AEG,48.3954780011,9.2595965836,N,Y,00CEMU,A7116,,
AEG26,AEG,48.3951061598,9.4038818301,N,Y,00EEMU,A28932,,
AEG27,AEG,48.4191396371,9.4799316588,N,Y,00CEMU,A40320,,
AEG28,AEG,48.4620734674,9.492303341,N,Y,00AEMU,A42175,,
AEG29,AEG,48.4168404068,9.358324659,N,Y,00CEMU,A22026,,
AEG30,AEG,48.4562378064,9.4572977908,N,Y,00CEMU,A36956,,
AEG31,AEG,48.4587449338,9.4600244612,N,Y,00CEMU,A37367,,
AEG32,AEG,48.4658332639,9.485781341,N,Y,00CEMU,A41172,,
AEG33,AEG,48.4514222421,9.4910511483,N,Y,00CEMU,A41959,,
AEG34,AEG,48.4558776829,9.5005580665,N,Y,00CEMU,A43366,,
AEG35,AEG,48.4808866615,9.2884387238,N,Y,00AEMU,A11495,,
AEG36,AEG,48.4781611668,9.2992438253,N,Y,00CEMU,A13124,,
AEG37,AEG,48.3961509361,9.4135454726,N,Y,00CEMU,A30361,,
AEG38,AEG,48.4395441364,9.4252511339,N,Y,00CEMU,A32042,,
AEG39,AEG,48.3942180774,9.4256829259,N,Y,00CEMU,A32195,,
AEG40,AEG,48.4097972087,9.5665626636,N,Y,00CEMU,A53417,,
AEG41,AEG,48.3699446079,9.3984861338,N,Y,00CEMU,A28088,,
AEG42,AEG,48.3979885716,9.3760179249,N,Y,00CEMU,A24657,,
AEG43,AEG,48.4134228471,9.5420173244,N,Y,00CEMU,A49542,,
AEG44,AEG,48.3779957932,9.4349969019,N,Y,00CEMU,A33605,,
AEG45,AEG,48.4013333334,9.4579527081,N,Y,00CEMU,A37099,,
AEG46,AEG,48.3969714231,9.4348888005,N,Y,00CEMU,A33626,,
