plot,general,lat,lon,elevation,focal,is_station,logger
BS,BURGWALD,,,,N,Y,Hobo
G_310,BURGWALD,,,,N,Y,Hobo
G_340,BURGWALD,,,,N,Y,Hobo
G_370,BURGWALD,,,,N,Y,Hobo
HH_310,BURGWALD,,,,N,Y,Hobo
HH_340,BURGWALD,,,,N,Y,Hobo
HH_370,BURGWALD,,,,N,Y,Hobo
HH_400,BURGWALD,,,,N,Y,Hobo
K_315,BURGWALD,,,,N,Y,Hobo
K_330,BURGWALD,,,,N,Y,Hobo
K_340,BURGWALD,,,,N,Y,Hobo
Kiefer_1,BURGWALD,,,,N,Y,Hobo
Kiefer_2,BURGWALD,,,,N,Y,Hobo
RW_oben,BURGWALD,,,,N,Y,Hobo
RW_unten,BURGWALD,,,,N,Y,Hobo
Rot_Nn,BURGWALD,,,,N,Y,Hobo
Rot_Sn,BURGWALD,,,,N,Y,Hobo
Rot_Ss,BURGWALD,,,,N,Y,Hobo
TB_310,BURGWALD,,,,N,Y,Hobo
TB_340,BURGWALD,,,,N,Y,Hobo
TB_370,BURGWALD,,,,N,Y,Hobo
TB_400,BURGWALD,,,,N,Y,Hobo
WT_315,BURGWALD,,,,N,Y,Hobo
Kiefer_1_0,BURGWALD,,,,N,Y,Hobo
