plot,general
cof1,cof
cof2,cof
cof3,cof
cof4,cof
cof5,cof
fer0,fer
fer1,fer
fer2,fer
fer3,fer
fer4,fer
fer5,fer
flm1,flm
flm2,flm
flm3,flm
flm4,flm
flm5,flm
flm6,flm
foc0,foc
foc1,foc
foc2,foc
foc3,foc
foc4,foc
foc5,foc
foc6,foc
fod1,fod
fod2,fod
fod3,fod
fod4,fod
fod5,fod
fpd0,fpd
fpd1,fpd
fpd2,fpd
fpd3,fpd
fpd4,fpd
fpd5,fpd
fpo0,fpo
fpo1,fpo
fpo2,fpo
fpo3,fpo
fpo4,fpo
fpo5,fpo
gra0,gra
gra1,gra
gra2,gra
gra3,gra
gra4,gra
gra5,gra
hel1,hel
hel2,hel
hel3,hel
hel4,hel
hel5,hel
hom1,hom
hom2,hom
hom3,hom
hom4,hom
hom5,hom
mai0,mai
mai1,mai
mai2,mai
mai3,mai
mai4,mai
mai5,mai
nkw1,nkw
sav0,sav
sav1,sav
sav2,sav
sav3,sav
sav4,sav
sav5,sav
sun1,cof
sun2,cof
sun3,cof
sun4,cof
fed1,fed
fed2,fed
fed3,fed
fed4,fed
fed5,fed
gra6,gra
cof6,cof
emg0,emg
mcg0,flm
mwh0,fpd
mch0,fpo
