station,general,logger,lat,lon
Alto Dondo,SASSCAL_angola,SASSCAL_logger,-9.68333,14.46667
Barragem das Neves,SASSCAL_angola,SASSCAL_logger,-14.958,13.363
Benfica,SASSCAL_angola,SASSCAL_logger,-9,13.091
Bentiaba,SASSCAL_angola,SASSCAL_logger,-14.257,12.387
Bibala,SASSCAL_angola,SASSCAL_logger,-14.808,13.341
Cacuso,SASSCAL_angola,SASSCAL_logger,-9.42808,15.74621
Campus ISPT,SASSCAL_angola,SASSCAL_logger,-14.958,13.445
Caope,SASSCAL_angola,SASSCAL_logger,-8.755,13.423
Capangombe,SASSCAL_angola,SASSCAL_logger,-15.096,13.138
Caraculo,SASSCAL_angola,SASSCAL_logger,-15.019,12.658
Chianga (Huambo),SASSCAL_angola,SASSCAL_logger,-12.74349,15.82923
Cuito Cuanavale,SASSCAL_angola,SASSCAL_logger,-15.1815,19.17833
Cusseque,SASSCAL_angola,SASSCAL_logger,-13.71,17.1
Damba,SASSCAL_angola,SASSCAL_logger,-6.68333,14.13333
Espinheira,SASSCAL_angola,SASSCAL_logger,-16.775774,12.347765
Fazenda Pongo-Andongo 2,SASSCAL_angola,SASSCAL_logger,-9.644,15.491
Gambos,SASSCAL_angola,SASSCAL_logger,-15.65,14.06667
Ganda,SASSCAL_angola,SASSCAL_logger,-12.95,14.63333
Gove,SASSCAL_angola,SASSCAL_logger,-13.455,15.859
Great Welwitschia,SASSCAL_angola,SASSCAL_logger,-15.568,12.14
Humpata,SASSCAL_angola,SASSCAL_logger,-15.069,13.351
IMA - Huambo,SASSCAL_angola,SASSCAL_logger,-12.815,15.641
ISPKS - Sumbe,SASSCAL_angola,SASSCAL_logger,-11.285,13.896
Kessua,SASSCAL_angola,SASSCAL_logger,-9.464,16.285
Kibala (Catofe),SASSCAL_angola,SASSCAL_logger,-10.73597,14.98446
Muconda,SASSCAL_angola,SASSCAL_logger,-10.58769,21.31772
Mukongo,SASSCAL_angola,SASSCAL_logger,-14.749,12.505
Namacunde,SASSCAL_angola,SASSCAL_logger,-17.312,15.853
Namibe,SASSCAL_angola,SASSCAL_logger,-15.159,12.178
Onjiva,SASSCAL_angola,SASSCAL_logger,-16.976,15.615
PN Bicuar,SASSCAL_angola,SASSCAL_logger,-15.1,14.8333
Projecto Terra do Futuro (PTF),SASSCAL_angola,SASSCAL_logger,-10.467,15.711
Quibaxi,SASSCAL_angola,SASSCAL_logger,-8.513,14.59
Tchivinguiro,SASSCAL_angola,SASSCAL_logger,-15.169,13.299
Tundavala,SASSCAL_angola,SASSCAL_logger,-14.845,13.407
Tundavala Observatory,SASSCAL_angola,SASSCAL_logger,-14.7999,13.4075
UJES-Huambo,SASSCAL_angola,SASSCAL_logger,-12.863,15.731
Wako-Kungo,SASSCAL_angola,SASSCAL_logger,-11.411,15.129
Xangongo,SASSCAL_angola,SASSCAL_logger,-16.719,14.982
Baines Drift,SASSCAL_botswana,SASSCAL_logger,-22.48983,28.69675
Ghanzi,SASSCAL_botswana,SASSCAL_logger,-21.715083,21.653167
Goodhope,SASSCAL_botswana,SASSCAL_logger,-25.46025,25.426778
Lephepe,SASSCAL_botswana,SASSCAL_logger,-23.365639,25.847194
Lotlhakane East,SASSCAL_botswana,SASSCAL_logger,-25.08,25.43
Mababe,SASSCAL_botswana,SASSCAL_logger,-19.018,23.96669
Mahalapye,SASSCAL_botswana,SASSCAL_logger,-23.112528,26.859222
Malopowabojang,SASSCAL_botswana,SASSCAL_logger,-25.2,25.57
Mogobane,SASSCAL_botswana,SASSCAL_logger,-24.98,25.7
Ngwatle,SASSCAL_botswana,SASSCAL_logger,-23.71239,21.07972
Pandamatenga,SASSCAL_botswana,SASSCAL_logger,-18.540139,25.634861
Ramotswa,SASSCAL_botswana,SASSCAL_logger,-24.88,25.88
Ranaka,SASSCAL_botswana,SASSCAL_logger,-24.9,25.45
Shakawe,SASSCAL_botswana,SASSCAL_logger,-18.368556,21.839306
Sowa,SASSCAL_botswana,SASSCAL_logger,-20.547417,26.078417
Tsabong,SASSCAL_botswana,SASSCAL_logger,-26.031361,22.400861
Tshane,SASSCAL_botswana,SASSCAL_logger,-24.019278,21.868556
Tubu (Okavango Delta),SASSCAL_botswana,SASSCAL_logger,-19.35786,22.284
Werda,SASSCAL_botswana,SASSCAL_logger,-25.268,23.259194
Xade,SASSCAL_botswana,SASSCAL_logger,-22.34072,23.02983
Alex Muranda Livestock Development Centre,SASSCAL_namibia,SASSCAL_logger,-18.3643,19.2562
Aussinanis,SASSCAL_namibia,SASSCAL_logger,-23.443536,15.04594199
Bagani,SASSCAL_namibia,SASSCAL_logger,-18.094639,21.559972
Claratal,SASSCAL_namibia,SASSCAL_logger,-22.7876,16.8144
Coastal Met,SASSCAL_namibia,SASSCAL_logger,-23.05631001,14.62594704
Dieprivier (Namib Desert Lodge),SASSCAL_namibia,SASSCAL_logger,-24.1296,15.8947
Erichsfelde,SASSCAL_namibia,SASSCAL_logger,-21.5986,16.9012
Ganab,SASSCAL_namibia,SASSCAL_logger,-23.1218,15.5383
Garnet Koppie,SASSCAL_namibia,SASSCAL_logger,-23.115385,15.30503601
Gellap Ost,SASSCAL_namibia,SASSCAL_logger,-26.4011,18.0072
Giribisvlakte,SASSCAL_namibia,SASSCAL_logger,-19.095699,13.326114
Gobabeb Met,SASSCAL_namibia,SASSCAL_logger,-23.560437,15.040998
Hamoye,SASSCAL_namibia,SASSCAL_logger,-18.23475,19.732306
John Pandeni,SASSCAL_namibia,SASSCAL_logger,-19.707778,18.035278
Kalahari,SASSCAL_namibia,SASSCAL_logger,-24.16283333,18.47672222
Kalimbeza,SASSCAL_namibia,SASSCAL_logger,-17.544722,24.526694
Kanovlei,SASSCAL_namibia,SASSCAL_logger,-19.332694,19.481083
Kaoko Otavi,SASSCAL_namibia,SASSCAL_logger,-18.300233,13.659833
Karios (Gondwana Canyon Lodge),SASSCAL_namibia,SASSCAL_logger,-27.6745,17.8195
Khorixas,SASSCAL_namibia,SASSCAL_logger,-20.378917,14.969517
Kleinberg,SASSCAL_namibia,SASSCAL_logger,-22.9895,14.728167
Kleinberg-FN,SASSCAL_namibia,SASSCAL_logger,-22.98927901,14.72792999
Koichab Pan,SASSCAL_namibia,SASSCAL_logger,-26.2003389,15.8610473
Mahenene,SASSCAL_namibia,SASSCAL_logger,-17.44433333,14.78480556
Mannheim,SASSCAL_namibia,SASSCAL_logger,-19.16861111,17.76305556
Marble Koppie,SASSCAL_namibia,SASSCAL_logger,-22.96948104,14.98967998
Marienflusstal,SASSCAL_namibia,SASSCAL_logger,-17.602974,12.602886
Mashare,SASSCAL_namibia,SASSCAL_logger,-17.8946,20.2085
Narais - Duruchaus,SASSCAL_namibia,SASSCAL_logger,-23.1301,16.8849
Okahandja Nation. Forestry Research Centre (NFRC),SASSCAL_namibia,SASSCAL_logger,-22.00563889,16.91797222
Ngoma,SASSCAL_namibia,SASSCAL_logger,-17.8995,24.707944
