plot,general,lat,lon,is_station,logger
ACORNHOEK POLICE ARS,SAWS,-24.5972,31.0492,Y,SAWS_logger
ADDO ELEPHANT PARK,SAWS,-33.4421,25.7485,Y,SAWS_logger
ALIWAL-NORTH PLAATKOP,SAWS,-30.8029,26.8834,Y,SAWS_logger
ALLDAYS HALY ARS,SAWS,-22.7206,29.1047,Y,SAWS_logger
AMERSFOORT ARS,SAWS,-27.1086,29.8722,Y,SAWS_logger
ASHTON CELLAR ARS,SAWS,-33.837,20.028,Y,SAWS_logger
ATLANTIS,SAWS,-33.6078,18.4831,Y,SAWS_logger
Alex Muranda Livestock Development Centre,SASSCAL_namibia,-18.3643,19.2562,Y,SASSCAL_logger
Alexanderbay Lichen Field,SASSCAL_south_africa,-28.62496,16.50674,Y,SASSCAL_logger
Alpha,SASSCAL_south_africa,-26.76178,20.62504,Y,SASSCAL_logger
Alpha_Kalahari,SASSCAL,,,Y,SASSCAL_logger
Alto Dondo,SASSCAL_angola,-9.68333,14.46667,Y,SASSCAL_logger
Aussinanis,SASSCAL_namibia,-23.443536,15.04594199,Y,SASSCAL_logger
BABANANGO,SAWS,-28.37,31.22,Y,SAWS_logger
BARBERTON PRISON ARS,SAWS,-25.7833,31.05,Y,SAWS_logger
BAVIAANSPOORT PUR ARS,SAWS,-25.6908,28.3633,Y,SAWS_logger
BELFAST,SAWS,-25.6918,30.0344,Y,SAWS_logger
BELLVILLE GOLF COURSE ARS,SAWS,-33.871,18.622,Y,SAWS_logger
BETHLEHEM WO,SAWS,-28.2496,28.3343,Y,SAWS_logger
BIRD ISLAND,SAWS,-33.8389,26.2861,Y,SAWS_logger
BISHO,SAWS,-32.8945,27.2868,Y,SAWS_logger
BLOEMFONTEIN - STAD,SAWS,-29.1206,26.1875,Y,SAWS_logger
BLOEMFONTEIN WO,SAWS,-29.1039,26.2981,Y,SAWS_logger
BLOEMHOF,SAWS,-27.6511,25.6219,Y,SAWS_logger
BLUE HORIZONS BAY ARS,SAWS,-33.9731,25.2583,Y,SAWS_logger
BLYVOORUITSIG GOLD MINE ARS,SAWS,-26.4,27.383,Y,SAWS_logger
BLYVOORUITZICHT ARS,SAWS,-26.4278,27.3422,Y,SAWS_logger
BOLEPI HOUSE,SAWS,-25.809,28.256,Y,SAWS_logger
BONNIEVALE - SONSKYN ARS,SAWS,-33.952,20.084,Y,SAWS_logger
BOTHAVILLE - BALKFONTEIN,SAWS,-27.4058,26.5044,Y,SAWS_logger
BOURKE'S LUCK AWS,SAWS,-24.6724,30.8092,Y,SAWS_logger
BRANDVLEI,SAWS,-30.4648,20.4786,Y,SAWS_logger
BREDASDORP - KLIPDALE AGRI ARS,SAWS,-34.308,19.965,Y,SAWS_logger
BRONKHORSTSPRUIT AWS,SAWS,-25.8086,28.7389,Y,SAWS_logger
BUFFELDOORNS ARS,SAWS,-24.5731,27.1167,Y,SAWS_logger
BUFFELSPOORT II AGR,SAWS,-25.75,27.483,Y,SAWS_logger
Bagani,SASSCAL_namibia,-18.094639,21.559972,Y,SASSCAL_logger
Baines Drift,SASSCAL_botswana,-22.48983,28.69675,Y,SASSCAL_logger
Barragem das Neves,SASSCAL_angola,-14.958,13.363,Y,SASSCAL_logger
Bentiaba,SASSCAL_angola,-14.257,12.387,Y,SASSCAL_logger
Bibala,SASSCAL_angola,-14.808,13.341,Y,SASSCAL_logger
CALVINIA BRAKFONTEIN ARS,SAWS,-32.343,19.531,Y,SAWS_logger
CALVINIA WO,SAWS,-31.4822,19.7619,Y,SAWS_logger
CAPE AGULHAS,SAWS,-34.826,20.013,Y,SAWS_logger
CAPE COLUMBINE,SAWS,-32.828,17.856,Y,SAWS_logger
CAPE POINT,SAWS,-34.353,18.49,Y,SAWS_logger
CAPE ST FRANCIS,SAWS,-34.2123,24.8358,Y,SAWS_logger
CAPE TOWN - ROYAL YACHT CLUB,SAWS,-33.9204,18.443,Y,SAWS_logger
CAPE TOWN SLANGKOP,SAWS,-34.148,18.319,Y,SAWS_logger
CAPE TOWN WO,SAWS,-33.9789,18.6,Y,SAWS_logger
CAROLINA,SAWS,-26.0681,30.1186,Y,SAWS_logger
CAROLINA ARS,SAWS,-26.0678,30.1186,Y,SAWS_logger
CEDARA,SAWS,-29.5419,30.265,Y,SAWS_logger
CERES AWS,SAWS,-33.385,19.321,Y,SAWS_logger
CHARTERS CREEK,SAWS,-28.2,32.417,Y,SAWS_logger
CITRUSDAL TOPDRIFT ARS,SAWS,-32.64,19.091,Y,SAWS_logger
CLANWILLIAM,SAWS,-32.1767,18.8881,Y,SAWS_logger
CT-AWS,SAWS,-33.979,18.6,Y,SAWS_logger
Cacuso,SASSCAL_angola,-9.42808,15.74621,Y,SASSCAL_logger
Campus ISPT,SASSCAL_angola,-14.958,13.445,Y,SASSCAL_logger
Capangombe,SASSCAL_angola,-15.096,13.138,Y,SASSCAL_logger
Caraculo,SASSCAL_angola,-15.019,12.658,Y,SASSCAL_logger
Chianga (Huambo),SASSCAL_angola,-12.74349,15.82923,Y,SASSCAL_logger
Claratal,SASSCAL_namibia,-22.7876,16.8144,Y,SASSCAL_logger
Coastal Met,SASSCAL_namibia,-23.05631001,14.62594704,Y,SASSCAL_logger
Cuito Cuanavale,SASSCAL_angola,-15.1815,19.17833,Y,SASSCAL_logger
DARLINGTON DAM ARS,SAWS,-33.0986,25.0956,Y,SAWS_logger
DE DOORNS ARS,SAWS,-29.0017,25.0756,Y,SAWS_logger
DIEPSLOOT ARS,SAWS,-25.9238,28.0216,Y,SAWS_logger
DOBSONVILLE ARS,SAWS,-26.223,27.8625,Y,SAWS_logger
DOHNE - AGR,SAWS,-32.535,27.4675,Y,SAWS_logger
DUBE - ARS,SAWS,-26.2463,27.8947,Y,SAWS_logger
DURBAN SOUTH AWS,SAWS,-29.965,30.9467,Y,SAWS_logger
DURBANVILLE- BLAAUWBLOMMETJIESKLOOF ARS,SAWS,,,Y,SAWS_logger
Damba,SASSCAL_angola,-6.68333,14.13333,Y,SASSCAL_logger
Dieprivier (Namib Desert Lodge),SASSCAL_namibia,-24.1296,15.8947,Y,SASSCAL_logger
EAST LONDON AWS,SAWS,-33.0369,27.8325,Y,SAWS_logger
EAST LONDON WO,SAWS,-33.0342,27.8294,Y,SAWS_logger
EAST LONDON WO AWS,SAWS,-33.0225,27.82,Y,SAWS_logger
EILAND SPA ATKV -ARS,SAWS,-23.6614,30.6775,Y,SAWS_logger
ELANDS RIVER-BOSBOK RAND ARS,SAWS,-33.7994,25.2181,Y,SAWS_logger
ELIM SAPS ARS,SAWS,-34.593,19.759,Y,SAWS_logger
EMERALD DALE ARS,SAWS,-29.9431,29.9564,Y,SAWS_logger
EMERALD DALE AWS,SAWS,-29.9431,29.9606,Y,SAWS_logger
ERMELO WO,SAWS,-26.4977,29.9838,Y,SAWS_logger
ESTCOURT,SAWS,-29.0069,29.8656,Y,SAWS_logger
EXCELSIOR ARS,SAWS,-28.938,27.061,Y,SAWS_logger
EXCELSIOR CERES,SAWS,-32.9633,19.4306,Y,SAWS_logger
Eksteenfontein,SASSCAL_south_africa,-28.83653,17.29039,Y,SASSCAL_logger
Erichsfelde,SASSCAL_namibia,-21.5986,16.9012,Y,SASSCAL_logger
FAURESMITH,SAWS,-29.7535,25.323,Y,SAWS_logger
FICKSBURG,SAWS,-28.8272,27.9041,Y,SAWS_logger
FLOWER RESERVE ARS,SAWS,-33.9122,25.2197,Y,SAWS_logger
FOCHVILLE-POLICE ARS,SAWS,-26.483,27.5,Y,SAWS_logger
FORT BEAUFORT,SAWS,-32.7881,26.6294,Y,SAWS_logger
FRANKFORT - TNK,SAWS,-27.267,28.495,Y,SAWS_logger
FRANSCHHOEK ARS,SAWS,,,Y,SAWS_logger
FRASERBURG,SAWS,-31.916,21.508,Y,SAWS_logger
FREEDOM FARM ARS,SAWS,-25.8947,25.1161,Y,SAWS_logger
GARIEP DAM,SAWS,-30.5621,25.5278,Y,SAWS_logger
GEELBEK,SAWS,-33.1961,18.1242,Y,SAWS_logger
GENADENDAL-MEULRIVIER ARS,SAWS,-34.061,19.472,Y,SAWS_logger
GEORGE WITFONTEIN,SAWS,-33.9353,22.4269,Y,SAWS_logger
GIANTS CASTLE AWS,SAWS,-29.2653,29.5225,Y,SAWS_logger
GIYANI,SAWS,-23.3142,30.6856,Y,SAWS_logger
GIYANI - NSAMI DAM ARS,SAWS,-23.2647,30.7647,Y,SAWS_logger
GLEN COLLEGE AWS,SAWS,-28.942,26.3258,Y,SAWS_logger
GOEDGEVONDEN ARS,SAWS,-27.0161,29.1583,Y,SAWS_logger
GOUDKOPPIES ARS,SAWS,-26.2747,27.9331,Y,SAWS_logger
GRAHAMSTOWN,SAWS,-33.2906,26.5028,Y,SAWS_logger
GRAND CENTRAL,SAWS,-25.9833,28.1333,Y,SAWS_logger
GRAND CENTRAL AIRPORT ARS,SAWS,-25.9919,28.1417,Y,SAWS_logger
GRASKOP AWS,SAWS,-24.933,30.85,Y,SAWS_logger
GRAVELLOTE-RUBBERVALE ARS,SAWS,-23.9178,30.5475,Y,SAWS_logger
GRAVELOTTE ARS,SAWS,-23.9494,30.6106,Y,SAWS_logger
GREYTOWN,SAWS,-29.083,30.6,Y,SAWS_logger
Gambos,SASSCAL_angola,-15.65,14.06667,Y,SASSCAL_logger
Ganab,SASSCAL_namibia,-23.1218,15.5383,Y,SASSCAL_logger
Ganda,SASSCAL_angola,-12.95,14.63333,Y,SASSCAL_logger
Garnet Koppie,SASSCAL_namibia,-23.115385,15.30503601,Y,SASSCAL_logger
Gellap Ost,SASSCAL_namibia,-26.4011,18.0072,Y,SASSCAL_logger
Ghanzi,SASSCAL_botswana,-21.715083,21.653167,Y,SASSCAL_logger
Giribisvlakte,SASSCAL_namibia,-19.095699,13.326114,Y,SASSCAL_logger
Gobabeb Met,SASSCAL_namibia,-23.560437,15.040998,Y,SASSCAL_logger
Goodhope,SASSCAL_botswana,-25.46025,25.426778,Y,SASSCAL_logger
HARTEBEESPOORT DAM,SAWS,-25.7489,27.8303,Y,SAWS_logger
HENNENMAN ARS,SAWS,-27.976,27.026,Y,SAWS_logger
HERMANUS,SAWS,-34.4325,19.2247,Y,SAWS_logger
HILLTOP RESEARCH ARS,SAWS,-28.0688,32.0343,Y,SAWS_logger
HOEDSPRUIT,SAWS,-24.35,31.05,Y,SAWS_logger
HOEDSPRUIT - MARULENG TESTING GROUNDS,SAWS,-24.3531,30.9536,Y,SAWS_logger
HOEDSPRUIT AIR FORCE BASE,SAWS,-24.3526,31.0493,Y,SAWS_logger
HOOPSTAD ARS,SAWS,-28.019,26.006,Y,SAWS_logger
HOUTBAY FORESTRY ARS,SAWS,-34.029,18.358,Y,SAWS_logger
Hamoye,SASSCAL_namibia,-18.23475,19.732306,Y,SASSCAL_logger
Humpata,SASSCAL_angola,-15.069,13.351,Y,SASSCAL_logger
IRENE WO,SAWS,-25.9105,28.2106,Y,SAWS_logger
IVORY PARK - ARS,SAWS,-25.9902,28.2016,Y,SAWS_logger
IXOPO,SAWS,-30.1525,30.0747,Y,SAWS_logger
JHB BOT TUINE,SAWS,-26.1566,27.9991,Y,SAWS_logger
JOHANNESBURG INT WO,SAWS,-26.15,28.23,Y,SAWS_logger
JOHANNESBURG SANDTON ARS,SAWS,-26.1024,28.069,Y,SAWS_logger
JONKERSHOEK,SAWS,-33.9678,18.9222,Y,SAWS_logger
JOUBERTINA AWS,SAWS,-33.8283,23.8586,Y,SAWS_logger
JOUBERTINA SCHOOL AWS,SAWS,-33.8247,23.8606,Y,SAWS_logger
John Pandeni,SASSCAL_namibia,-19.707778,18.035278,Y,SASSCAL_logger
KAMEELDRIFT ARS,SAWS,-25.6603,28.3144,Y,SAWS_logger
KENILWORTH RACE COURSE ARS,SAWS,-33.998,18.481,Y,SAWS_logger
KING SHAKA AWOS,SAWS,-29.6017,31.13,Y,SAWS_logger
KING SHAKA INTERNATIONAL AIRPORT WO,SAWS,-29.6108,31.1239,Y,SAWS_logger
KIRSTENBOSCH,SAWS,-33.9919,18.4328,Y,SAWS_logger
KLIPPLAAT ARS,SAWS,-33.0167,24.2308,Y,SAWS_logger
KNELLPOORTDAM,SAWS,-29.7861,26.9031,Y,SAWS_logger
KOKSTAD,SAWS,-30.5014,29.3972,Y,SAWS_logger
KOMATIDRAAI,SAWS,-25.5145,31.9103,Y,SAWS_logger
KOSI BAY ARS,SAWS,-26.9564,32.8308,Y,SAWS_logger
KRIEGERS KRAAL ARS,SAWS,-32.9619,25.9464,Y,SAWS_logger
KRIEL ARS,SAWS,-26.267,29.233,Y,SAWS_logger
KROONSTAD,SAWS,-27.6664,27.3136,Y,SAWS_logger
KRUGER MPUMALANGA INT. AIR.,SAWS,-25.3877,31.0995,Y,SAWS_logger
KRUGERSDRIFT DAM ARS,SAWS,-28.881,25.95,Y,SAWS_logger
KRUGERWILDTUIN SHANGONI ARS,SAWS,-23.1688,30.9431,Y,SAWS_logger
KWAMASHU W/W ARS,SAWS,-29.7292,31.0097,Y,SAWS_logger
Kabwe Mulungushi,SASSCAL_zambia,-14.29257,28.56632,Y,SASSCAL_logger
Kalabo,SASSCAL_zambia,-14.98895,22.68175,Y,SASSCAL_logger
Kalahari,SASSCAL_namibia,-24.16283333,18.47672222,Y,SASSCAL_logger
Kalimbeza,SASSCAL_namibia,-17.544722,24.526694,Y,SASSCAL_logger
Kanovlei,SASSCAL_namibia,-19.332694,19.481083,Y,SASSCAL_logger
Kaoko Otavi,SASSCAL_namibia,-18.300233,13.659833,Y,SASSCAL_logger
Karios (Gondwana Canyon Lodge),SASSCAL_namibia,-27.6745,17.8195,Y,SASSCAL_logger
Kasempa,SASSCAL_zambia,-13.45696,25.8337,Y,SASSCAL_logger
Khorixas,SASSCAL_namibia,-20.378917,14.969517,Y,SASSCAL_logger
Kibala (Catofe),SASSCAL_angola,-10.73597,14.98446,Y,SASSCAL_logger
Kleinberg,SASSCAL_namibia,-22.9895,14.728167,Y,SASSCAL_logger
Kleinberg-FN,SASSCAL_namibia,-22.98927901,14.72792999,Y,SASSCAL_logger
Koeroegabvlakte,SASSCAL_south_africa,-28.2359,17.02557,Y,SASSCAL_logger
Koichab Pan,SASSCAL_namibia,-26.2003389,15.8610473,Y,SASSCAL_logger
LADY GREY - IDEAL,SAWS,-30.8864,27.2344,Y,SAWS_logger
LADYSMITH,SAWS,-28.567,29.767,Y,SAWS_logger
LAMBERTSBAAI ARS,SAWS,-32.101,18.307,Y,SAWS_logger
LAMBERTSBAAI NORTIER,SAWS,-32.0349,18.3325,Y,SAWS_logger
LANGEBAANWEG - AAWS,SAWS,-32.979,18.164,Y,SAWS_logger
LANGEBAANWEG AWS,SAWS,-32.9725,18.1578,Y,SAWS_logger
LANGGEWENS,SAWS,-33.2764,18.7061,Y,SAWS_logger
LANSERIA WO,SAWS,-25.9397,27.9256,Y,SAWS_logger
LE LONG ARS,SAWS,-28.017,28.084,Y,SAWS_logger
LEPHALALE,SAWS,-23.68,27.7,Y,SAWS_logger
LESLIE LEANDRA ARS,SAWS,-26.3694,28.9222,Y,SAWS_logger
LETABA REST CAMP ARS,SAWS,-23.8523,31.5736,Y,SAWS_logger
LEVUBU,SAWS,-23.0943,30.2863,Y,SAWS_logger
LILLYDALE ARS,SAWS,-30.014,25.958,Y,SAWS_logger
LINDLEYSPOORT,SAWS,-25.5022,26.6961,Y,SAWS_logger
LYDENBURG,SAWS,-25.1119,30.4766,Y,SAWS_logger
Lephepe,SASSCAL_botswana,-23.365639,25.847194,Y,SASSCAL_logger
Lusaka Int. Airport,SASSCAL_zambia,-15.31929,28.4405,Y,SASSCAL_logger
Lusaka University of Zambia,SASSCAL_zambia,-15.39117,28.33204,Y,SASSCAL_logger
MACHADODORP AWS,SAWS,-25.7161,30.2303,Y,SAWS_logger
