plotID,datetime,Ta_200
stationA,2010-01-01T00,NA
stationA,2010-01-01T01,-2.88000
stationA,2010-01-01T02,-3.10000
stationA,2010-01-01T03,-3.33000
stationA,2010-01-01T04,-3.55000
stationA,2010-01-01T05,-3.73000
stationA,2010-01-01T06,-3.84000
stationA,2010-01-01T07,-3.90000
stationA,2010-01-01T08,-3.93000
stationA,2010-01-01T09,-3.93000
stationA,2010-01-01T10,-3.81000
stationA,2010-01-01T11,-3.72000
stationA,2010-01-01T12,-3.64000
stationA,2010-01-01T13,-3.53000
stationA,2010-01-01T14,-3.52000
stationA,2010-01-01T15,-3.64000
stationA,2010-01-01T16,-3.72000
stationA,2010-01-01T17,-3.84000
stationA,2010-01-01T18,-3.92000
stationA,2010-01-01T19,-4.01000
stationA,2010-01-01T20,-4.11000
stationA,2010-01-01T21,-4.12000
stationA,2010-01-01T22,-4.05000
stationA,2010-01-01T23,-3.99000
stationA,2010-01-02T00,-4.04000
stationA,2010-01-02T01,-3.94000
stationA,2010-01-02T02,-3.99000
stationA,2010-01-02T03,-4.01000
stationA,2010-01-02T04,-4.01000
stationA,2010-01-02T05,-3.92000
stationA,2010-01-02T06,-3.99000
stationA,2010-01-02T07,-3.98000
stationA,2010-01-02T08,-4.17000
stationA,2010-01-02T09,-4.42000
stationA,2010-01-02T10,-4.30000
stationA,2010-01-02T11,-4.13000
stationA,2010-01-02T12,-4.29000
stationA,2010-01-02T13,-4.54000
stationA,2010-01-02T14,-4.64000
stationA,2010-01-02T15,-4.64000
stationA,2010-01-02T16,-5.06000
stationA,2010-01-02T17,-6.10000
stationA,2010-01-02T18,-6.19000
stationA,2010-01-02T19,-6.65000
stationA,2010-01-02T20,-5.28000
stationA,2010-01-02T21,-4.75000
stationA,2010-01-02T22,-3.93000
stationA,2010-01-02T23,-3.32000
stationA,2010-01-03T00,-3.22000
stationA,2010-01-03T01,-3.05000
stationA,2010-01-03T02,-2.84000
stationA,2010-01-03T03,-2.74000
stationA,2010-01-03T04,-2.68000
stationA,2010-01-03T05,-2.64000
stationA,2010-01-03T06,-2.74000
stationA,2010-01-03T07,-2.68000
stationA,2010-01-03T08,-2.44000
stationA,2010-01-03T09,-2.40000
stationA,2010-01-03T10,-2.13000
stationA,2010-01-03T11,-1.87000
stationA,2010-01-03T12,-1.25000
stationA,2010-01-03T13,-1.37000
stationA,2010-01-03T14,-1.37000
stationA,2010-01-03T15,-1.63000
stationA,2010-01-03T16,-1.82000
stationA,2010-01-03T17,-3.01000
stationA,2010-01-03T18,-4.41000
stationA,2010-01-03T19,-5.12000
stationA,2010-01-03T20,-5.31000
stationA,2010-01-03T21,-5.42000
stationA,2010-01-03T22,-5.47000
stationA,2010-01-03T23,-5.55000
stationA,2010-01-04T00,-5.61000
stationA,2010-01-04T01,-5.73000
stationA,2010-01-04T02,-5.82000
stationA,2010-01-04T03,-5.87000
stationA,2010-01-04T04,-5.90000
stationA,2010-01-04T05,-5.97000
stationA,2010-01-04T06,-6.00000
stationA,2010-01-04T07,-6.02000
stationA,2010-01-04T08,-6.11000
stationA,2010-01-04T09,-6.15000
stationA,2010-01-04T10,-5.97000
stationA,2010-01-04T11,-5.21000
stationA,2010-01-04T12,-4.66000
stationA,2010-01-04T13,-4.30000
stationA,2010-01-04T14,-4.20000
stationA,2010-01-04T15,-5.10000
stationA,2010-01-04T16,-5.71000
stationA,2010-01-04T17,-6.00000
stationA,2010-01-04T18,-6.32000
stationA,2010-01-04T19,-8.08000
stationA,2010-01-04T20,-9.06000
stationA,2010-01-04T21,-9.85000
stationA,2010-01-04T22,-10.45000
stationA,2010-01-04T23,-11.41000
stationA,2010-01-05T00,-12.21000
stationA,2010-01-05T01,-11.39000
stationA,2010-01-05T02,-11.19000
stationA,2010-01-05T03,-11.64000
stationA,2010-01-05T04,-11.14000
stationA,2010-01-05T05,-10.75000
stationA,2010-01-05T06,-11.39000
stationA,2010-01-05T07,-10.79000
stationA,2010-01-05T08,-11.66000
stationA,2010-01-05T09,-11.61000
stationA,2010-01-05T10,-11.44000
stationA,2010-01-05T11,-10.95000
stationA,2010-01-05T12,-8.62000
stationA,2010-01-05T13,-8.10000
stationA,2010-01-05T14,-7.55000
stationA,2010-01-05T15,-7.90000
stationA,2010-01-05T16,-8.13000
stationA,2010-01-05T17,-9.32000
stationA,2010-01-05T18,-11.79000
stationA,2010-01-05T19,-11.97000
stationA,2010-01-05T20,-13.11000
stationA,2010-01-05T21,-14.58000
stationA,2010-01-05T22,-14.95000
stationA,2010-01-05T23,-16.56000
stationA,2010-01-06T00,-17.78000
stationA,2010-01-06T01,-18.17000
stationA,2010-01-06T02,-18.38000
stationA,2010-01-06T03,-17.59000
stationA,2010-01-06T04,-16.23000
stationA,2010-01-06T05,-15.57000
stationA,2010-01-06T06,-15.80000
stationA,2010-01-06T07,-14.98000
stationA,2010-01-06T08,-14.25000
stationA,2010-01-06T09,-13.84000
stationA,2010-01-06T10,-13.25000
stationA,2010-01-06T11,-12.31000
stationA,2010-01-06T12,-11.62000
stationA,2010-01-06T13,-10.58000
stationA,2010-01-06T14,-8.75000
stationA,2010-01-06T15,-8.90000
stationA,2010-01-06T16,-7.81000
stationA,2010-01-06T17,-7.91000
stationA,2010-01-06T18,-7.78000
stationA,2010-01-06T19,-7.86000
stationA,2010-01-06T20,-7.74000
stationA,2010-01-06T21,-7.68000
stationA,2010-01-06T22,-7.46000
stationA,2010-01-06T23,-7.33000
stationA,2010-01-07T00,-7.46000
stationA,2010-01-07T01,-7.49000
stationA,2010-01-07T02,-7.37000
stationA,2010-01-07T03,-7.31000
stationA,2010-01-07T04,-7.36000
stationA,2010-01-07T05,-7.37000
stationA,2010-01-07T06,-7.40000
stationA,2010-01-07T07,-8.21000
stationA,2010-01-07T08,-8.24000
stationA,2010-01-07T09,-7.98000
stationA,2010-01-07T10,-7.40000
stationA,2010-01-07T11,-6.58000
stationA,2010-01-07T12,-5.71000
stationA,2010-01-07T13,-4.71000
stationA,2010-01-07T14,-2.84000
stationA,2010-01-07T15,-4.51000
stationA,2010-01-07T16,-6.47000
stationA,2010-01-07T17,-7.10000
stationA,2010-01-07T18,-7.97000
stationA,2010-01-07T19,-10.00000
stationA,2010-01-07T20,-10.94000
stationA,2010-01-07T21,-11.98000
stationA,2010-01-07T22,-13.03000
stationA,2010-01-07T23,-13.18000
stationA,2010-01-08T00,-14.25000
stationA,2010-01-08T01,-14.88000
stationA,2010-01-08T02,-15.28000
stationA,2010-01-08T03,-15.08000
stationA,2010-01-08T04,-14.16000
stationA,2010-01-08T05,-13.37000
stationA,2010-01-08T06,-11.89000
stationA,2010-01-08T07,-10.08000
stationA,2010-01-08T08,-9.13000
stationA,2010-01-08T09,-9.13000
stationA,2010-01-08T10,-8.52000
stationA,2010-01-08T11,-8.37000
stationA,2010-01-08T12,-8.49000
stationA,2010-01-08T13,-8.40000
stationA,2010-01-08T14,-8.22000
stationA,2010-01-08T15,-8.04000
stationA,2010-01-08T16,-7.95000
stationA,2010-01-08T17,-7.71000
stationA,2010-01-08T18,-7.55000
stationA,2010-01-08T19,-7.78000
stationA,2010-01-08T20,-7.47000
stationA,2010-01-08T21,-7.14000
stationA,2010-01-08T22,-6.91000
stationA,2010-01-08T23,-6.49000
stationA,2010-01-09T00,-6.13000
stationA,2010-01-09T01,-6.03000
stationA,2010-01-09T02,-6.14000
stationA,2010-01-09T03,-6.10000
stationA,2010-01-09T04,-5.77000
stationA,2010-01-09T05,-5.41000
stationA,2010-01-09T06,-5.08000
stationA,2010-01-09T07,-4.79000
stationA,2010-01-09T08,-4.70000
stationA,2010-01-09T09,-4.67000
stationA,2010-01-09T10,-4.59000
stationA,2010-01-09T11,-4.39000
stationA,2010-01-09T12,-4.31000
stationA,2010-01-09T13,-4.27000
stationA,2010-01-09T14,-4.27000
stationA,2010-01-09T15,-4.32000
stationA,2010-01-09T16,-4.44000
stationA,2010-01-09T17,-4.57000
stationA,2010-01-09T18,-4.64000
stationA,2010-01-09T19,-4.76000
stationA,2010-01-09T20,-4.85000
stationA,2010-01-09T21,-4.92000
stationA,2010-01-09T22,-4.96000
stationA,2010-01-09T23,-5.00000
stationA,2010-01-10T00,-5.03000
stationA,2010-01-10T01,-5.06000
stationA,2010-01-10T02,-5.07000
stationA,2010-01-10T03,-5.07000
stationA,2010-01-10T04,-5.12000
stationA,2010-01-10T05,-5.11000
stationA,2010-01-10T06,-5.09000
stationA,2010-01-10T07,-5.05000
stationA,2010-01-10T08,-4.97000
stationA,2010-01-10T09,-4.93000
stationA,2010-01-10T10,-4.85000
stationA,2010-01-10T11,-4.52000
stationA,2010-01-10T12,-4.20000
stationA,2010-01-10T13,-4.13000
stationA,2010-01-10T14,-4.21000
stationA,2010-01-10T15,-4.27000
stationA,2010-01-10T16,-4.32000
stationA,2010-01-10T17,-4.49000
stationA,2010-01-10T18,-4.70000
stationA,2010-01-10T19,-4.88000
stationA,2010-01-10T20,-5.12000
stationA,2010-01-10T21,-5.28000
stationA,2010-01-10T22,-5.38000
stationA,2010-01-10T23,-5.39000
stationA,2010-01-11T00,-5.41000
stationA,2010-01-11T01,-5.41000
stationA,2010-01-11T02,-5.27000
stationA,2010-01-11T03,-5.16000
stationA,2010-01-11T04,-5.21000
stationA,2010-01-11T05,-5.28000
stationA,2010-01-11T06,-5.34000
stationA,2010-01-11T07,-5.55000
stationA,2010-01-11T08,-6.15000
stationA,2010-01-11T09,-6.39000
stationA,2010-01-11T10,-6.35000
stationA,2010-01-11T11,-6.27000
stationA,2010-01-11T12,-6.11000
stationA,2010-01-11T13,-6.26000
stationA,2010-01-11T14,-6.37000
stationA,2010-01-11T15,-6.53000
stationA,2010-01-11T16,-6.66000
stationA,2010-01-11T17,-6.97000
stationA,2010-01-11T18,-7.05000
stationA,2010-01-11T19,-7.06000
stationA,2010-01-11T20,-7.14000
stationA,2010-01-11T21,-7.18000
stationA,2010-01-11T22,-7.20000
stationA,2010-01-11T23,-7.25000
stationA,2010-01-12T00,-7.22000
stationA,2010-01-12T01,-7.35000
stationA,2010-01-12T02,-7.39000
stationA,2010-01-12T03,-7.42000
stationA,2010-01-12T04,-7.37000
stationA,2010-01-12T05,-7.35000
stationA,2010-01-12T06,-7.30000
stationA,2010-01-12T07,-7.30000
stationA,2010-01-12T08,-7.34000
stationA,2010-01-12T09,-7.43000
stationA,2010-01-12T10,-7.18000
stationA,2010-01-12T11,-6.87000
stationA,2010-01-12T12,-6.26000
stationA,2010-01-12T13,-5.90000
stationA,2010-01-12T14,-5.70000
stationA,2010-01-12T15,-5.97000
stationA,2010-01-12T16,-6.41000
stationA,2010-01-12T17,-7.47000
stationA,2010-01-12T18,-7.88000
stationA,2010-01-12T19,-8.06000
stationA,2010-01-12T20,-7.49000
stationA,2010-01-12T21,-7.06000
stationA,2010-01-12T22,-7.31000
stationA,2010-01-12T23,-8.76000
stationA,2010-01-13T00,-8.89000
stationA,2010-01-13T01,-9.76000
stationA,2010-01-13T02,-10.78000
stationA,2010-01-13T03,-11.25000
stationA,2010-01-13T04,-11.55000
stationA,2010-01-13T05,-11.65000
stationA,2010-01-13T06,-11.72000
stationA,2010-01-13T07,-11.78000
stationA,2010-01-13T08,-11.64000
stationA,2010-01-13T09,-11.89000
stationA,2010-01-13T10,-11.93000
stationA,2010-01-13T11,-12.19000
stationA,2010-01-13T12,-11.15000
stationA,2010-01-13T13,-10.05000
stationA,2010-01-13T14,-9.44000
stationA,2010-01-13T15,-9.29000
stationA,2010-01-13T16,-9.34000
stationA,2010-01-13T17,-9.29000
stationA,2010-01-13T18,-9.19000
stationA,2010-01-13T19,-9.03000
stationA,2010-01-13T20,-8.88000
stationA,2010-01-13T21,-9.06000
stationA,2010-01-13T22,-8.45000
stationA,2010-01-13T23,-8.32000
stationA,2010-01-14T00,-7.77000
stationA,2010-01-14T01,-7.33000
stationA,2010-01-14T02,-7.09000
stationA,2010-01-14T03,-6.68000
stationA,2010-01-14T04,-6.21000
stationA,2010-01-14T05,-5.96000
stationA,2010-01-14T06,-5.82000
stationA,2010-01-14T07,-5.65000
stationA,2010-01-14T08,-5.51000
stationA,2010-01-14T09,-5.19000
stationA,2010-01-14T10,-4.71000
stationA,2010-01-14T11,-4.27000
stationA,2010-01-14T12,-3.85000
stationA,2010-01-14T13,-3.20000
stationA,2010-01-14T14,-2.67000
stationA,2010-01-14T15,-2.42000
stationA,2010-01-14T16,-2.45000
stationA,2010-01-14T17,-2.84000
stationA,2010-01-14T18,-2.88000
stationA,2010-01-14T19,-2.88000
stationA,2010-01-14T20,-2.87000
stationA,2010-01-14T21,-2.85000
stationA,2010-01-14T22,-2.78000
stationA,2010-01-14T23,-2.78000
stationA,2010-01-15T00,-2.76000
stationA,2010-01-15T01,-2.79000
stationA,2010-01-15T02,-2.83000
stationA,2010-01-15T03,-2.77000
stationA,2010-01-15T04,-2.75000
stationA,2010-01-15T05,-2.72000
stationA,2010-01-15T06,-2.71000
stationA,2010-01-15T07,-2.66000
stationA,2010-01-15T08,-2.75000
stationA,2010-01-15T09,-2.75000
stationA,2010-01-15T10,-2.22000
stationA,2010-01-15T11,-1.76000
stationA,2010-01-15T12,-1.66000
stationA,2010-01-15T13,-1.77000
stationA,2010-01-15T14,-1.71000
stationA,2010-01-15T15,-1.90000
stationA,2010-01-15T16,-1.96000
stationA,2010-01-15T17,-2.19000
stationA,2010-01-15T18,-2.40000
stationA,2010-01-15T19,-2.48000
stationA,2010-01-15T20,-2.49000
stationA,2010-01-15T21,-2.61000
stationA,2010-01-15T22,-2.64000
stationA,2010-01-15T23,-2.71000
stationA,2010-01-16T00,-2.82000
stationA,2010-01-16T01,-2.92000
stationA,2010-01-16T02,-2.94000
stationA,2010-01-16T03,-2.97000
stationA,2010-01-16T04,-3.01000
stationA,2010-01-16T05,-3.17000
stationA,2010-01-16T06,-3.29000
stationA,2010-01-16T07,-3.31000
stationA,2010-01-16T08,-3.29000
stationA,2010-01-16T09,-3.20000
stationA,2010-01-16T10,-3.02000
stationA,2010-01-16T11,-2.40000
stationA,2010-01-16T12,-1.97000
stationA,2010-01-16T13,-2.10000
stationA,2010-01-16T14,-1.76000
stationA,2010-01-16T15,-1.50000
stationA,2010-01-16T16,-2.27000
stationA,2010-01-16T17,-3.82000
stationA,2010-01-16T18,-4.70000
stationA,2010-01-16T19,-5.42000
stationA,2010-01-16T20,-5.78000
stationA,2010-01-16T21,-6.59000
stationA,2010-01-16T22,-5.60000
stationA,2010-01-16T23,-3.57000
stationA,2010-01-17T00,-2.23000
stationA,2010-01-17T01,-1.39000
stationA,2010-01-17T02,-1.07000
stationA,2010-01-17T03,-0.97000
stationA,2010-01-17T04,-1.17000
stationA,2010-01-17T05,-0.93000
stationA,2010-01-17T06,-0.58000
stationA,2010-01-17T07,-0.54000
stationA,2010-01-17T08,-0.45000
stationA,2010-01-17T09,-0.29000
stationA,2010-01-17T10,0.00000
stationA,2010-01-17T11,0.80000
stationA,2010-01-17T12,1.86000
stationA,2010-01-17T13,1.94000
stationA,2010-01-17T14,1.96000
stationA,2010-01-17T15,2.04000
stationA,2010-01-17T16,2.23000
stationA,2010-01-17T17,2.30000
stationA,2010-01-17T18,2.06000
stationA,2010-01-17T19,1.84000
stationA,2010-01-17T20,2.00000
stationA,2010-01-17T21,2.50000
stationA,2010-01-17T22,2.66000
stationA,2010-01-17T23,2.46000
stationA,2010-01-18T00,2.37000
stationA,2010-01-18T01,2.40000
stationA,2010-01-18T02,2.52000
stationA,2010-01-18T03,2.36000
stationA,2010-01-18T04,2.29000
stationA,2010-01-18T05,2.16000
stationA,2010-01-18T06,2.01000
stationA,2010-01-18T07,2.01000
stationA,2010-01-18T08,2.06000
stationA,2010-01-18T09,2.07000
stationA,2010-01-18T10,2.24000
stationA,2010-01-18T11,2.43000
stationA,2010-01-18T12,2.60000
stationA,2010-01-18T13,2.52000
stationA,2010-01-18T14,2.72000
stationA,2010-01-18T15,2.94000
stationA,2010-01-18T16,2.86000
stationA,2010-01-18T17,2.80000
stationA,2010-01-18T18,2.59000
stationA,2010-01-18T19,2.49000
stationA,2010-01-18T20,2.51000
stationA,2010-01-18T21,2.34000
stationA,2010-01-18T22,2.19000
stationA,2010-01-18T23,2.00000
stationA,2010-01-19T00,2.02000
stationA,2010-01-19T01,1.89000
stationA,2010-01-19T02,1.91000
stationA,2010-01-19T03,1.53000
stationA,2010-01-19T04,1.33000
stationA,2010-01-19T05,1.38000
stationA,2010-01-19T06,1.49000
stationA,2010-01-19T07,1.56000
stationA,2010-01-19T08,1.56000
stationA,2010-01-19T09,1.46000
stationA,2010-01-19T10,1.43000
stationA,2010-01-19T11,1.64000
stationA,2010-01-19T12,1.64000
stationA,2010-01-19T13,1.73000
stationA,2010-01-19T14,2.06000
stationA,2010-01-19T15,2.24000
stationA,2010-01-19T16,1.89000
stationA,2010-01-19T17,1.62000
stationA,2010-01-19T18,1.40000
stationA,2010-01-19T19,1.36000
stationA,2010-01-19T20,0.77000
stationA,2010-01-19T21,0.84000
stationA,2010-01-19T22,0.57000
stationA,2010-01-19T23,0.26000
stationA,2010-01-20T00,-0.14000
stationA,2010-01-20T01,-0.23000
stationA,2010-01-20T02,0.00000
stationA,2010-01-20T03,0.15000
stationA,2010-01-20T04,0.06000
stationA,2010-01-20T05,-0.07000
stationA,2010-01-20T06,-0.03000
stationA,2010-01-20T07,-0.12000
stationA,2010-01-20T08,-0.17000
stationA,2010-01-20T09,-0.09000
stationA,2010-01-20T10,0.11000
stationA,2010-01-20T11,0.48000
stationA,2010-01-20T12,0.81000
stationA,2010-01-20T13,0.71000
stationA,2010-01-20T14,0.83000
stationA,2010-01-20T15,0.72000
stationA,2010-01-20T16,0.66000
stationA,2010-01-20T17,0.26000
stationA,2010-01-20T18,0.47000
stationA,2010-01-20T19,0.35000
stationA,2010-01-20T20,0.08000
stationA,2010-01-20T21,-0.16000
stationA,2010-01-20T22,-0.41000
stationA,2010-01-20T23,-0.79000
stationA,2010-01-21T00,-1.19000
stationA,2010-01-21T01,-1.54000
stationA,2010-01-21T02,-1.91000
stationA,2010-01-21T03,-2.33000
stationA,2010-01-21T04,-2.53000
stationA,2010-01-21T05,-2.87000
stationA,2010-01-21T06,-3.30000
stationA,2010-01-21T07,-3.66000
stationA,2010-01-21T08,-3.94000
stationA,2010-01-21T09,-4.49000
stationA,2010-01-21T10,-4.70000
stationA,2010-01-21T11,-4.70000
stationA,2010-01-21T12,-4.74000
stationA,2010-01-21T13,-4.80000
stationA,2010-01-21T14,-5.00000
stationA,2010-01-21T15,-5.05000
stationA,2010-01-21T16,-5.18000
stationA,2010-01-21T17,-5.43000
stationA,2010-01-21T18,-5.55000
stationA,2010-01-21T19,-5.66000
stationA,2010-01-21T20,-5.77000
stationA,2010-01-21T21,-5.66000
stationA,2010-01-21T22,-5.69000
stationA,2010-01-21T23,-5.89000
stationA,2010-01-22T00,-6.10000
stationA,2010-01-22T01,-6.38000
stationA,2010-01-22T02,-6.67000
stationA,2010-01-22T03,-6.67000
stationA,2010-01-22T04,-6.62000
stationA,2010-01-22T05,-6.47000
stationA,2010-01-22T06,-6.40000
stationA,2010-01-22T07,-6.48000
stationA,2010-01-22T08,-6.68000
stationA,2010-01-22T09,-6.69000
stationA,2010-01-22T10,-6.61000
stationA,2010-01-22T11,-6.51000
stationA,2010-01-22T12,-6.37000
stationA,2010-01-22T13,-6.23000
stationA,2010-01-22T14,-6.20000
stationA,2010-01-22T15,-6.11000
stationA,2010-01-22T16,-6.12000
